feature,mean_importance
extracurricular_participation_Yes,-0.0006008485331169711
semester,-0.0005925496398430985
major_Psychology,-0.0004844162523276019
major_Biology,-0.0003987136828179638
part_time_job_Yes,-0.00031476334776157076
social_activity,-0.00025337217452021666
diet_quality,-0.00020735619646115034
age,-0.0001185176424461476
learning_style_Reading,-6.036676294707277e-05
learning_style_Kinesthetic,-3.6075197493068424e-05
major_Business,2.8907776379583083e-05
gender_Other,0.00023947435976658937
mental_health_rating,0.00027418846020037523
major_Computer Science,0.0003062983132517072
dropout_risk_Yes,0.0003193844230760856
gender_Male,0.00042775537219239543
major_Engineering,0.00047994820848491494
time_management_score,0.0005497734811193755
netflix_hours,0.0005830044283483993
parental_support_level,0.0007593267688796868
parental_education_level,0.0008153279622723719
learning_style_Visual,0.0008266997001010523
internet_quality,0.0008371208818146458
attendance_percentage,0.0009227737204426933
social_media_hours,0.0011672527156171065
screen_time,0.0014353501507635702
family_income_range,0.0014577026781626313
study_environment_Co-Learning Group,0.004282375417347883
study_environment_Library,0.006465056682976256
exam_anxiety_score,0.012576079208414793
study_environment_Quiet Room,0.016120048609600812
sleep_hours,0.016965045643564648
exercise_frequency,0.01968659199079188
study_environment_Dorm,0.024354670042862424
stress_level,0.029304617403557186
access_to_tutoring_Yes,0.03104212521164007
motivation_level,0.07850339267033297
study_hours_per_day,0.11530554421117234
