feature,shap_importance
motivation_level,0.22700629
study_hours_per_day,0.18596905
access_to_tutoring_Yes,0.11075393
stress_level,0.09579722
study_environment_Dorm,0.09174727
exercise_frequency,0.07269011
sleep_hours,0.06845805
study_environment_Quiet Room,0.04979473
study_environment_Co-Learning Group,0.02230262
study_environment_Library,0.02215887
screen_time,0.016520424
attendance_percentage,0.012151806
mental_health_rating,0.011472781
social_media_hours,0.011004371
netflix_hours,0.009572833
time_management_score,0.009510603
parental_support_level,0.0068525476
age,0.0060931314
diet_quality,0.005981596
semester,0.005289208
social_activity,0.004839712
parental_education_level,0.0042553497
family_income_range,0.0040557254
internet_quality,0.0036477358
gender_Other,0.0027105229
part_time_job_Yes,0.0022066506
gender_Male,0.0019937267
extracurricular_participation_Yes,0.001925981
dropout_risk_Yes,0.0015117481
major_Computer Science,0.0014943769
major_Biology,0.0014274783
learning_style_Visual,0.0012836182
learning_style_Reading,0.0012641192
major_Business,0.0011295506
major_Engineering,0.0011286704
major_Psychology,0.0010323524
learning_style_Kinesthetic,0.0009616497
exam_anxiety_score,0.0
