feature,shap_importance
study_hours_per_day,0.18157949291784753
exam_anxiety_score,0.17451217508243158
study_environment_Dorm,0.12167304094850313
access_to_tutoring_Yes,0.09779513079516942
stress_level,0.06337517932779561
motivation_level,0.05175677412309871
sleep_hours,0.030799803350185045
exercise_frequency,0.018156936939354253
screen_time,0.01657272280166612
study_environment_Quiet Room,0.005487462111378507
attendance_percentage,0.0018375034854742514
mental_health_rating,0.001470723409905209
time_management_score,0.0011989523087656895
netflix_hours,0.0009931535737743424
social_media_hours,0.0008913869143824625
dropout_risk_Yes,0.0007005589461041094
age,0.0005991185859961055
semester,0.0005255988891899953
parental_support_level,0.0005224430126829346
social_activity,0.000414390306508392
parental_education_level,0.00036443335193555784
extracurricular_participation_Yes,0.00025108120821138396
learning_style_Kinesthetic,0.00022966160353962708
part_time_job_Yes,0.00020619954769124556
study_environment_Co-Learning Group,0.00020611432370494498
internet_quality,0.00020554306772258338
gender_Male,0.0001967842014624053
major_Psychology,0.00016183071799079398
diet_quality,0.00015163661929654666
learning_style_Visual,0.00012533804394255382
family_income_range,0.0001244287590047946
major_Biology,0.00012190396242093326
major_Computer Science,9.666052415216931e-05
gender_Other,9.018071390101397e-05
major_Business,8.885306441954237e-05
major_Engineering,8.242014304905328e-05
learning_style_Reading,5.399655642452123e-05
study_environment_Library,5.2184202952238566e-05
