feature,shap_importance
motivation_level,0.16777113
study_hours_per_day,0.15745118
access_to_tutoring_Yes,0.113750674
study_environment_Dorm,0.10104276
stress_level,0.09776364
exercise_frequency,0.0709398
sleep_hours,0.06799215
exam_anxiety_score,0.061622046
study_environment_Quiet Room,0.05339554
screen_time,0.04146915
social_media_hours,0.027853664
study_environment_Co-Learning Group,0.021076487
study_environment_Library,0.017762467
netflix_hours,0.015777037
attendance_percentage,0.010110207
mental_health_rating,0.008686482
time_management_score,0.008652837
parental_support_level,0.008334198
age,0.0058136927
diet_quality,0.0049406746
semester,0.004833911
social_activity,0.004347452
parental_education_level,0.0041567846
family_income_range,0.0034185224
dropout_risk_Yes,0.0031382472
internet_quality,0.0028142396
part_time_job_Yes,0.0026685384
extracurricular_participation_Yes,0.0025947716
major_Engineering,0.0022919283
gender_Other,0.0020863952
learning_style_Reading,0.0017735987
gender_Male,0.0014982756
major_Computer Science,0.0013575766
learning_style_Kinesthetic,0.001320472
major_Business,0.0012749648
learning_style_Visual,0.0012529341
major_Biology,0.0010773229
major_Psychology,0.0010007636
