feature,shap_importance
exam_anxiety_score,0.18126953911516022
study_hours_per_day,0.17925351365948766
study_environment_Dorm,0.1127010879623493
motivation_level,0.03825740053547744
access_to_tutoring_Yes,0.03765265201290546
stress_level,0.014055064585411024
screen_time,0.009482373239560334
sleep_hours,0.0014151993025693223
exercise_frequency,0.00026425855626549386
dropout_risk_Yes,8.204366830440478e-05
major_Engineering,0.0
major_Psychology,0.0
part_time_job_Yes,0.0
age,0.0
extracurricular_participation_Yes,0.0
major_Business,0.0
study_environment_Co-Learning Group,0.0
study_environment_Library,0.0
study_environment_Quiet Room,0.0
learning_style_Kinesthetic,0.0
learning_style_Reading,0.0
major_Computer Science,0.0
time_management_score,0.0
major_Biology,0.0
gender_Other,0.0
gender_Male,0.0
parental_support_level,0.0
family_income_range,0.0
social_activity,0.0
semester,0.0
mental_health_rating,0.0
internet_quality,0.0
parental_education_level,0.0
diet_quality,0.0
attendance_percentage,0.0
netflix_hours,0.0
social_media_hours,0.0
learning_style_Visual,0.0
